,id,title,transcript
10,7l-Bw6JbJd4,준비성이 투철한 스트리머,제가 질문을 하면 여러분들이 답하시면 됩니다 소가 노래를 부르면 뭘까요 답은 놀라지 마세요 소송입니다 자 다음 노래 부르는 소들이 단체로 떼창을 하면 뭘까요 이게 준비성이 투철해야 돼요 스트리머를 하려면 여러분들 재밌게 해드리려고 제가 준비를 한 거 아니에요 밥은 집단 소송입니다 집단 소송입니다 단체 소송 허용됩니다
11,bpKjsFesJ4o,태양권,오늘 안 오신다면서요 재밌어 보여서 온 거 같은데 태양광 대학원에 다 쓸려고 다 날라갔어요 지금
12,P9RtvcHcWRk,익스트림 미니멀리즘,여기가 여기가 제 집이에요 아니 저 침실 어 침실 딱 여기 쏙 여기가 제 침실 이렇게 전 이렇게 자요 꺼내 줄래요 안 맞거든 아 예 고마워요
13,_mG3o7zNMNU,다 제 업이죠,차일 것 같은데 경주마 좋아 보이는데 좀 더 빠른 거 같기도 하고 주인 죽였으니까 정로
14,k_54YS__9dM,똥줄스톤,마감을 안 끝내고 해야 더 재밌다이 말이야 왜냐면 이제 다 소중히 됐기 때문에 할 일이 있어야지 게임은 재밌는 법이라구요 할 일 다 하고 게임 하면 그게 무슨 재미에요 똥줄 탈 때 짬 내서야 재밌다
15,AvSXLp1eZwQ,달팽이 위스퍼러,[음악] 음식물 쓰레기에다 버려야 된다고요 그런 말 하지 마세요 지금 좋아 좋아가 당황해 가지고 일어났잖아요 애 놀래키지 마세요 밥 먹는데 도와줘 괜찮아 좋아 좋아 괜찮아 더듬이 빼 눈 빼 괜찮아요 그래 눈 빼 먹어도 돼 괜찮아요 너한테 하는 말 아니야 너한테 우 하면서 나한테 하는데 알았어 알았어 먹어 먹어 이쪽으로 미안해 사과하세요 [음악]
16,qX9MkYnGGB0,너굴맨의 파격 선언,저 오늘 나쁜 놈은 죽이는 걸로 카운트 안 하면 10명만 죽이겠습니다 10명은 왜 죽임 너 같은 놈 때문에 20명 죽이는 거야 알았어요 방금 당신 때문에 죄 없는 사람 열 명이 더 죽습니다
17,MFRcBXGxkd4,아차차!,저도 근데 카페 할 때는 그 생각을 못 했어 알아보면 싫어한다는 생각 그래서 그때 래퍼분이셨는데 그분이 거기 자주 오셨거든요 제가 팬입니다 아차차 [웃음] 맞다 싫지 나중에 깨달았어
18,Vrk4d0Ge48Y,웃음소리가 경박한 이유,그 뭐야 웃음소리가 좀 경박하잖아요 왜 그런 줄 알아요 초등학교 때 어떤 여자애가 경박하게 하도 그거 따라다 이렇게 됐어요 이렇게 살지 말라이 말이야 아저씨 만화는 학창시절 재미없는 아이 따라 해서 그런 건가요 딱히 없는데 그냥 내가 재미없는 건데
19,4gWVzc0JaSk,아 가만있어 보라고!,왜 또 해요 자식하는 거 봐 알았어 알았어 와봐 알았어 풀어줄게 가만있어 봐 까줘 이거 까주자 알았어 알았어 가만있어 봐 가만히 있어봐 너 맞아 풀어줄게 가만있어 봐 가만있어 보라고 어 풀린 거 아니야 아니 이거 아니 내가 풀어주고 싶은데 얘가 왜 이러는 거야 대체 이해할 수가 없네
20,xyHWW4jdx9U,아! 일본인이다!,하와이 호텔에 베드로즈 여행 갔을 때 배도라지 멤버 뭐 직박이형 나 종수 뭐 옥냥이 해 가지고 막 이렇게 주르륵 가잖아 수영장 쪽으로 일자로 막 가고 있는데 일본인 모녀가 이렇게 막 어리둥절하면서 막 이렇게 있어 종수랑 막 직박이 막 엉냥이 막 지나가는데 막 이렇게 있다가 내가 지나가니까 말을 거는 거야 일본말로 뭐 물어보려고 했나 봐 종수 거르고 옥냥이 거르고 막 이렇게 해가지고 동족인 줄 아는가 봐 그래서 물어봤는데 나도 일본어 모르니까 막 아임코리안 아임코리안 이랬을걸 아 몰라요 나 아임코리안 막 이랬을 거야 대충 막 이렇게 해가지고 빨리 그 베드라지는 대로 도망가지
21,ppQjTI20Zqc,화나면 뭐 어쩔 건데?,왜 정착은 왜 안 탔어 뭐야 들어야 돼 뭐 어떻게 해야 돼 탈 때까지 기다려야 되는구나 바로바로 타요 아 왜 나 안 썼어 화나면 뭐 어쩔 건데 상전이야 타라 좋은 말할 때 네가 화나면 미션 실패 말고 뭐 할 수 있는데 [음악] 일본 프로레슬링 착했는데 착해가지고 서로 이렇게 뒤돌아보는 거 뭔지 알죠 절대이 가족들을 화나게 해선 안 돼 거의 모든 것의 신이야
22,2m4tBqZc29w,볼드모트는 빌런이 아니야,나 나 딱총나무 누구 죽이게 누구 죽이게 그냥 난사 난사한다 딱총 난사 이게 빌런이야 볼드모터는 빌런이 아니야 이게 빌런이야 아니 사람 없는데 사람 없는데 아 사람 있는데 하면 당연히 안 되지 말이 안 되지 미친놈이지 사람인데 사면 그냥 막 쑤시는 재미가 있잖아 그랬는데 개념 같은데 가서 있잖아요
23,zh54z7aBEIo,미국에도 스타벅스가 있어요,미국에도 스타벅스가 있어요 한국에 있는게 미출한 건가 한국에 있는게 미국에도 다 있어 하고 메시는 3층에 있습니다 호날두는요 날조했어요 호날두는 없어요
24,nWSlnPq16xU,오늘 뭐 중요한 일 있니?,웃긴게 뭔지 알아요 평소랑 똑같은데 코트만 입었다고 오늘 어디 나가야 돼 얼마나 거지같이 입고 다녔으면 어디 무슨 일 있니 양말 신은 거 보니까 오늘 중요한 일이구먼 옛날에 그랬어 지금은 양말 안 신었는데 전에 양말 신고 오니까 경조사 경조사 오늘 뭐 중요한 일 있니 양말을 신고 왔냐
25,s_eWfHy0OMM,0고백 1차임,포틀랜드 국제공항에서 한 남자가 밴쿠퍼라는 이름으로 시애틀 타코마 국제공항 팬 편도 티켓을 끊었습니다 비행기가 운항 고도에 이르자 쿠퍼는 스튜어디스 플로렌스 스내프에게 메모를 건넸습니다 처음에 스튜어디스는 푸퍼가 추파를 던질 목적으로 전화번호를 적은 쪽지를 건네준 저하고 받지 않았어요 꼬시는 줄 알고 손님 괜찮습니다 주지 마십시오 넣어 두십시오 했지만 쿠퍼 자꾸 읽어보라고 제 차 강요하자 그제서야 받았다고 합니다 메모의 내용은 자신은 폭탄을 가지고 있으며 자신의 지시를 따르라는 것이었습니다 그래서 아 됐어요 근데 쿠퍼도 굉장히 난감한 거죠 자기가 계획을 다 짜가지고이 매물을 읽어야 다음 스텝으로 넘어가야 돼 손님 이러지 마십시오 괜찮습니다 천재적인 범죄자라도이 쪽지를 받지 않으면이 예술적으로 설계한이 범죄가 성립이 되지 않는 거예요 그래서 만약에 끝까지 안 받았으면 서운해서 안 했을 수도 있어
26,rBV-FSZ3fCA,뻘쭘맨,[음악] 서설픈 내 사랑 은 사랑의 너를 사랑은 [음악] [음악]
27,dKpr-UtMmXE,경범죄의 기준,정건영 어차피 막차 배에 명예 1.5배씩 주니까 지금은 형 본능대로 막 살아도 돼 근데 1.5배씩 줘도 안 될 수도 있지 않을까요 1.5배로도 착한 일을 해야 쌓이는 거 아니야 뭐야이 자식들아 왜 뭐가 아 저 근처에 오래 있으면 안 되는구나 현장이 있으면 안 돼 자수에 그냥 그래도 경범죄라서 험하게는 안하네 10명 이하면 경범죄에요 다섯 명 이하면 경범죄야
28,dg73gC23DtI,뭐가 이상하냐고!,어 왔어요 메일 왔어요 잠깐만 아 키가 안 되네 키가 안 돼 대체 읽어보겠습니다 좀 뭐가 이상하긴 한데 너무 궁금해 하필 여기 뭐가 이상하냐고
29,X2wMlsRIQpk,하헐크,헐크는 인격 간의 갈등이 재미인데 헐크 되기 전에 그 박사님 뭐지 브루스 배너 너무 비중이 적어 너무 쭈그려요 인간이 좀 매력이 있어야 돼 하려면 그래서 내 생각에는 헐크가 쭈글인데 계속 궁시렁되는 캐릭터는 어떨까 궁시렁대 계속 그래서 아이언맨이 이렇게 하자 무기 뭐 몇 개 준비했으니까 그거 쓰고 이렇게 하죠 괜찮죠 여러분들 괜찮죠 이렇게 이렇게 그래서 배우는 주홍민 작가님
30,bTCWGPLaVtE,만들어진 범죄자,그만 [음악] 와 그만 와이 자식아 보안관 앞이잖아 그만해 또한과 나 피자 야 너 팬에 또 보안관 온다 아직 말려봐요 쳐다보지 마 말고 뒤져볼까 괜찮겠지 착한 먹거리인가 나쁜 목걸이네 손 들고 싶으면 어떡하죠 손을 못 뜨네 아니 이거 뭐야 이게 만들어진 범죄자잖아 이건 너굴 너굴맨이 배달이 와가지고 말려주지도 않고
31,0mmtluJX04I,그분이 이렇게 말씀하세요?,우정과 사랑 사이 오늘 연예과학 보다가 흠칫 잠시만요 흠짓 했잖습니까 오늘 연애과학보다 흠치를 찬스 이런 거에요 알고 지낸지 22개월 되던 날부터 사귀었잖습니까 [웃음] 캐나다 연구 신뢰도 100 찍었잖아 그분이 이렇게 말씀하세요
32,kYF9d1US-j4,아 그건 인정이다,아랍 에미리트 욕설을 사용하면 불법이다 아 욕을 못 해 근데 이게 난 좋은 거 같진 않아요 왜냐하면 분노 자체가 사라지진 않기 때문에 더 비꼬거나 더 지능적으로 옛날에 제가 이제 통천하고 어렸을 때 중학교 때 살 때 미친놈이라고 하니까 부모님이 하지 말라고 했어요 그러니까 미린 놈 미린 놈이라고 하니까 아 그건 인정이다 미림남이라고 하는 식으로 충분히 우회해서 표현할 수 있어요 그 분노를 근데 독특하긴 하네요 욕설 자체를 못 하게 하는 법은
33,C1jrGQJsXe4,장부 까본다?,뭔 말이야 아 진짜 뭔데 장부 까봐 야 떠치야 자꾸 까본다 웃긴 놈들이야 알아서아서아서아서아서아서아서 캐런 현금 5달러 호재야 현금 4달러 야 호재야 너 나랑 같이 하지 않았냐 근데 왜 4달러만 집어넣냐 나보고 악인이라고 내가 악마면 기부 악마야 거의 내가 한 20명 먹여 살리는 거 같아
34,ahPTyVzqTYU,캐리비안의 해적 재미없게 본 사람,제가 그 캐리비안 해적은 다 안 봤거든요 근데 1편 보고 솔직히 나 이게 재밌는지를 몰랐어 진짜 별로였거든 걔랑 나오잖아 그 원숭이 데리고 다니는 아저씨 그 뭐지 바르보사 바르보사 캐릭터는 간지야 캐릭터는 간지야 근데 스토리 자체가 재밌지는 않았어 5편에서 죽음 아 나 그럼 5편까지 봤어 나 미친 나 캐리비안 해적 매니아였네 나 왜 잡았지 아 나 별로 재미없게 보는데 왜 재미없게 봤는데 왜 다 봤을까 유령선 해군 내가 그 최종 보스라는 해군 대장 그게 5편이었네 내가 최종 보스라는 그 해군대장 그게 우편이었어 개 세잖아 걔가 겁나 셉니다 이제 알았네 내가 캐리비안 해적 그 시리즈 매니아였는 줄
35,PbcwtVmXYHc,결국은 매드맥스의 세상이 와요,야 이쁘다 괜찮겠지 그죠 괜찮겠죠 지금 화석연료 끝물에 사는 거 괜찮겠죠 결국은 매드 맥스의 세상이 와요 언젠가는 와 그때 우리가 승자야 난 그래서 미리 워보이가 돼 있잖아 지금 얼려 어댑터는 얼려 답하지 너무 일찍 일어난 새야냐 벌레들도 안 일어났으면 불만 죽는 거 아니야
36,w0KAa6owWcI,개못하는 애잖아?,나도 똥 냄새 똥 냄새 안 나는데 어떻게 알았어 와 [박수] 어디야 [음악] 딱 봐도 삼성이야 뭐야 시체 총을 쏴서 그래요 아 그럼 얘를 죽이고 했었어야 되는구나
37,D2TTgO7vNeQ,레서판다라고 해주세요,이거 굉장히 열받아요 레서판다라고 해주세요 지금 휴대폰 꺼내서 바꿔요 빨리 지금 빨리빨리 레서판 대로 바꿔 너무 열 받아 진짜 이것 때문에 구독자 한 만 명 나갔어가 더 좋은데 아이씨 왜 이렇게 됐지 마 왜 왜 저렇게 됐지 아 결말어 일부러 했잖아 일부러 이렇게 되냐고 내가 장난치는게 아니라니까 이렇게 되는 거 어떡해 진짜 왜 그래 내가 장난치는게 아니라니까 어쩔 수 없지 뭐
38,CWJXpBQn360,간손미 3단 고음,오우 뭐지 말발굽은 누구 설마 유빈이었어 이렇게 쉽게 놓치지는 않는데 내게 반항하면 어떻게 되는지 똑똑히 보여주마 우리는 완전히 오히려 빼앗겼다고 합니다 [음악] 없어 떨어져 가고 있어
39,ozdfq_jwTRE,완벽한 가죽 얻는 법,삼성 이성 아 맞아 삼성이 따로 있다고 했어 태생이 있어 삼성 물고 태어난 애들이 있어 뭐야 이거 여기 그거네 [박수] [음악] 알았어 알았어 왜 쏘는 거야 대체 이해가 안 되네 아 완벽해 좋아요
40,TjBQlf2myXI,상두라스 하두라스,도시 보고 지도에서 위치 찾기 게임입니다 온두라스 상드라스 하드라스 온두라스 온두라스 아 온두라스 성공 넘버즈 넘버즈 넘버그 어때요 넘버그 아 또 몸 괜찮아 뜨겁지요 그럼 남쪽에 있겠죠 넘버를 [박수] 넘버즈 살라만시 [박수]
41,ntB9zFw8Zdw,욕쟁이 안드로이드,올라가겠습니다 빨리 안 해요 너는 맛있게 먹어 나도 뭐 기름 같은거
42,kH_M0jrOeXM,스트로베리의 현자,보안관 부르라고 스트로베리 딸기 보안관 부르라고 신고 안 해 야 인마 신고 안 해 나 같은 천방지축이 어디 있어 빨리 신고하라고 또 나만 나쁜 사람 만들지 바로 신고하면 되는데 또 나만 나쁜 사람 만들어 축구야 뭐야 주먹을 안 뽑네 이런 상황인데 주먹을 안 뻗어 현자야 현자 스트로베리의 현자 여기에 여기 여기 아 왜 때려 좀 맞아야 되는데 자 이제 깨끗해졌어요
43,d0qRrSi1nhY,어렸을 때만 할 수 있는 질문,어렸을 때만 할 수 있는 질문 얼마 전 선여자한테 했거든요 얼마 준다 아니다 1년 전에 4살 때 엄마 뱃속에 있었을 때 생각나냐고 물어봤어 생각이 안 되는 거야 깜깜하고 축축하고 따뜻했대 그리고 엄마 아빠 목소리가 다 들렸대 손유리가 작가의 어떤 소질이 있는 주작이라고요 아니 상상이지 뭐냐면은 속에 있을 때에 그 느낌을 상상을 하는 거야 작가 되면 주작가야
44,5kyL_B_bHuc,개과천선,야 여기 완전 대도시인데이 동네 이런 데가 있었어 와 아 인사 받아 줘 인사 세상이 너무 아름다워졌어요 갑자기 그 긍정적이게 됐어 좀 걸어다녀야겠다 왜 이래 하지만 그러지 마 아 왜 떼거지를 왜 이래 이 자식아 나 이제 알겠어 내가 간 것마가 개과천선을 못 하는지
45,19msKLBwGZI,최고시쮸야 고맙다,수익률이 더 높아요
46,Lmnsps1-e8c,근데 되게 무서워서...,지하철 급하게 타려다 문에 걸려서 못 할 때 저는 경험이 있어요 문에 걸린 건 아니고 가방이 지하철 사이에 꼈어요 근데 되게 무서워서 가방을 집어 뜯었어요 지금 뜯었다고요 그러니까 걸렸는데 차라리 못 타서 가방이 안에 들어가 있고 문이 있고 난 밖에 있는 거야 근데 난이 가방을 버리면 가다가 사고가 날 수도 있고 지하철이 그리고 내가 갖고 있으면 난 달려가잖아 그래서 이게 힘으로 빼줬는데 뚜두 뜯 어져요 그러고 나니까 지하철 문 을 열어 줘 아 나 무서워 가지고 이거 무서워하는데 도둑 뜯은 거야 근데 문을 열어준 거야
47,KhK-_hFTgwE,어제는 화이트데이였어요,어제는 3월 14일 파이 데이였습니다 다들 파이 한 조각 드셨나요 디저트 월드컵이라서 그냥 헛소리 한번 해봤습니다 경고입니다 어제는요 명심하세요 화이트데이였어요 그래서 저녁에 수영이랑 사탕 주는 날이라고 설명을 해주고 편의점 가서 사탕을 봤는데 별로 사고 싶은게 없나 봐 소영이가 그래서 카운터로 가더니 다른 거 여기 말고 뭐 없는 그래서 아저씨가 밖에 있다가 그래서 밖에 갔더니 화이트데이용 비싸게 포장한 사탕들이 있는 거야 그래서 수영이가 막 보더니 오 이거 진짜 예쁘다 하면서 딱 고른게 뭐냐면 이따만한 사탕 꽃다발이야 그러면서 나보고 이제 엄마 역할을 하래 그리고 자기가 이렇게 하면 된다면서 막 이렇게 막 이렇게 주는 신용을 하면서 이걸 사야 된다고 이걸 이렇게 하면서 내 사탕을 받아줘 하면서 이렇게 해야 된대 그래가지고 아 얘가 이렇게 컸구나 이런 그 선물하는 거를 아는구나 하면서 뿌듯해 하면서 이런 말을 했어요 내려놔 안에서 고르자 그래서 젤리 샀어요
48,aUZb-VjugkM,레데리 GO,자 풀어줬는데 어떻게 행동하느냐에 따라서네 결정할 거야 자 어떻게 할 거야 어 쉿 너 이제 내 포켓몬이다 야 기회를 줄 때 잘 해야지어야 너 공손해지면 그때 내가 풀어준다
49,UpFx2MqnZaQ,나 뭐 변한 거 없어?,이제 신창매님이 들어갈 때 나 이거 들어간다 나 각 좀 볼게 나 좀 봐줘이 정도 콜 해주시면 원딜이 게임 할 때 진짜 편해요 아 나 좀 봐줘 나 변한 거 없어 나 뭐 변한 거 없어 모르겠는데 나 봐봐 지금 여기 이 떡안이 돼 있잖아 이렇게 그죠 나 이제 들어간다는 신호야 이렇게 그죠
50,d8Q02u0n3a8,"실례합니다만, 지금 불타고 계십니다",어 오늘 제가 담배를 피우고 나서 탁탁 털고 꽁초를 가지고 차로 갔어요 문을 쾅 닫았는데 그 군고구마 냄새가 나는 거야 그래서 아 겨울이 되고 이제 드디어 이제 군고구마 시즌이 됐구나 그래가지고 이제 감상이 젖어 가지고 있는데 연기가 나오는 거야 여기서 어 뭐지 이렇게 봤어요 막 여기서 막 뭐가 나오는 거야 벌써 온천같이 그래가지고 얼른 나가 가지고 진짜 코미디 영화처럼 이렇게 벗어가지고 딱 보니까 여기가 막 불타고 있는 거야 내 몸이 내 마음이 불타고 있는 거야 그래서 여기 여기 안에도 막 이렇게 했거든요 그래가지고 그 생일 선물로 받은 침착맨 티셔츠 군고구마빵이 생겼어요 여러분들 그 담배는 100회 무익이라는 거 말씀드리고 여러분들은 이렇게 살지 마세요
51,1sf94MOdMxQ,보안관의 고객 보호 서비스,응 타도 되나 아 미안해 미안 아이고 키를 몰라서 근데 얘는 왜 죽었어 보안관성 보안관이 싼데 나한테 뭐라 그래요 보안관이 어련히 알아서 범죄자 잡았겠지
52,twjzcoze9qM,이름하야~,빅스비 목소리 변경 서유리 님 있네요 아니 서유리님이 여기 계시네요 뭔가 평상시랑 좀 다른데요 좀 어눌하신데요 모르는 척 하시는데 열 파 참 야 끝까지 이거 몰아 세워야지 하시네 그냥은 안 하시네 열 파 참이 회자될 줄은 이 중에 있나요
53,4Jb4hYJpMv4,즉시 진정,예 얘가 좀 진정이 되면 그때 풀어 줄게요 살생을 하면 안 되니까 어 이거 어디 갔지 괜찮겠죠
54,j1cR59N5cKI,현미밥,음식을 시켜 뭐 뭐 드시고 싶은 거 있고요 아니 약간 좀 다이어트 돼요 샐러드가 제일 싫어합니다 다이어트 하면서 밀가루인데 아 좋아요 아 근데 많이 양호해졌네 옛날에는 나는 그 현미밥으로 해 줘 이게 모양을 이렇게 하면 김치찌개 먹을 때도 현미밥이 안 먹었어 아 현미랑 네모가 뭔 상관이냐고요 현미 햇반이 있어 그 네모야 아니 동그래
55,9ieEzEKhVrk,오우 너무하네요!,미국 교수님이 우리나라 노비들 이름을 분석한 영상이 있어요 얘는이 노비 이름은 개똥인데 우리말로 하면 더그시시야 그러니까 그 미국에 있던 미국 사람이 너무하네요 어떻게 사람 이름을 어떤 문화적 차이를 이해하는데 거기에는 어떤 귀엽다는 의미도 담겨 있고 이거 막 설명해 주죠 되게 재밌어요 야 그거 진짜 그거는 제대로 이해를 하지 않으면은 쉽지 않은데
56,FEu6_VfySBE,퍼스트 너굴맨 리턴즈,저기 왜 있지 저기 왜 있어 싸우지 마 싸우지 마 고장난 명이야 이게 왜 왜 나한테 시비 거는 거야 모자 주인이래 안 뒤지면 되겠죠 착하게 여기서 싸우는 것까지 되는데 뒤지면은 또 나한테 뭐라 그래 죽이면 안 되고 호주머니도 사람 있을 때 털면 안 돼 그 범죄야
57,jTdCK52XXd4,외국어 교육방송 인트로 느낌,자 하루 머치 How much how much
58,i_K9rzWnhAE,디테일하게 표현해도 될까요?,요즘에 진짜 흔하게 먹을 수 있는 레토르트 뭐 이런 맛이 아니야 좀 약간 디테일하게 좀 표현해도 될까요 택배 리쌍 시절에 히드라 리스크 땡이드라 러쉬 하는 느낌이에요 뭔 말인지 알겠어 택배 리쌍 시절에 땡이들을 하는 느낌 시간이 지남에 따라서 길드나 이런 것들이 완전 체계화되고 정석이 나와 버렸잖아 그래서 빅뱅 일상 시절에 땡이들아 같은게 나올 수가 없는데 땡이드라가 나왔네 이미 맛이 정석이 다 나와 버렸는데 어렸을 때 먹었던 맛의 춘추전국시대의 볶음밥 그 맛이 나와 버렸네 이런 느낌
59,iuxGfBW72iM,내가 안 했어요,왜 이래 나 아니야 내가 안 했어 나 아니야 아 나 아닌데 와 내가 죽인 거 아닌데 아 동물학대 내가 안 했는데 난리 났네 난리 났어 아 억울해 아니 마을에 들어가는데 왜 나를 왜 신고하냐고 아무것도 안 했는데 말이 내가 도착할 때쯤 픽 쓰러졌다니까 내가 안 했어요
60,VRMJpXUoJKA,크툰 님!,그랬더니 준비됐지 오케이 대표님 자신 있어요 준비 또 됐어요 오케이 준비됐다 오케이 갑니다 잠깐만 갑니다 어떻게 됐어
61,9oyUoWaR934,증인의 얼굴을 봐 주시죠!,[박수] 말이 안 되는지 되는지는 증인의 얼굴을 봐주시지요 증인의 얼굴을 증거품으로 제출합니다 제 차는 미친 새끼 [음악] 너 별로 중요하지도 않은 자잘자잘한 일로 내가 그렇다면 그런 거지 저놈이야 나 봤다고 사형이라고 그 남자에게 사형을 내려 잡아 자화 자화자화
62,zY8q2grrRVM,나한테만 그래,아 현상금은 왜 알려 주는데요 아 총 제가 먼저 쐈어요 나한테만 그래 제가 먼저 총 쐈는데 아니 그러면 칼 뽑으면 총 쏴도 됩니까 내가 칼 들었다는 건 쟤도 총만 들어야지 왜 총을 쏘냐고
63,DMG6zOug-a4,전원 사망,[웃음] [음악] 양말 벗겨지죠 슬슬 올라오죠 야 펄도 육미라더니 머리만 좋다 편지가 있어가지고 그렸던 펄기 쿠킹덤에서 안내주길래 직접 만들었습니다 뭐야 보관은 잘 했는데 혹시 모르니 드시지 마세요
64,lzWLrC-2zhE,내비 안 켜도 돼!,바다 위로 또 가죠 이쯤이에요 제가 다 압니다 내가 아는 길이야 내비 안 켜도 돼 아 글로 가면 그 길 막혀 내비를 어떻게 믿어이 시간에 막히는 건 뻔한데 너는 기계가 죽으라고 하면 죽을 거냐 너무 좋아 [웃음]
65,zGXKG9hsIYY,콜롬비아의 수도는?,아이들이 알지 알지 콜롬비아 콜롬비아 아싸라비아 [웃음] 콜롬보
66,dX0vF6mCFSg,배려하는 아줌마,어때 니 보시가 범인이란 걸 납득했어 안 했어 아줌마 왜 사진에 대해 아무 말도 해주지 않았죠 아 그거 형사한테 듣는 것이 더 스릴이 있지 않을까 해가지고 일부러 말하지 않은 거야 알겠어 아줌마는 배려하는 달이거든이 촬영소는 어디에 가려고 해도 반드시 경비실 앞을 지나가야 해 그동안은 여기서 아줌마가 본 것은네 봇이 있을 뿐이야 이러면은 이보시가 범인이 아니라면 대체 누가 범인이겠어 아주 말 수도 있겠죠 [웃음] 농담도 잘하는구먼
67,4XlEEcUusFU,괜찮아요? 부인?,[음악] 아 깔렸구나 도와줘 괜찮아요 구인 괜찮아요 부인 부인 말이 죽었네요 데려다 드리겠습니다 제가 현상 수배범이긴 하지만 타세요 갑시다
68,A3PkEwyt7Pg,민수성찬,제 생각에는 일단 김창민 선생님이 배가 고프시니까 계란말이를 먼저 해서 드리고 그다음에 순두제비 그 밀가루 반죽하는데 좀 시간이 걸리거든요 그래서 밀가루 반죽하고 불고기도 이렇게 좀 간장에 재워놔야 돼요 그 재우는 시간 그 사이에 계란말이 드시고 그다음에 좀 이야기 조금 하다가 그리고 이제 육수를 만들어야 되거든요 수제비 육수 이러한 그 복잡한 절차들을 한번 해서 근데 저는 요거를 다 해주시면 너무 감사한데 요거를 하다가 시간이 넘쳐서요 특강을 못 들을까 저는 두렵거든요 요거를 제 생각에는 그러면 점심 저녁으로 고르는게 없다 일단 하나만 보내시는 건 어떤지 제가 조심스럽게 제안을 좀
69,okn4br0VyMM,발포 패션,오늘 패션이 그 영화 조커 보셨나요 아니요 영어에 그 내용을 설명해 드리자면요 딱 오소리 입은 그 주인공이 3초 만에 정말 죽는다거나 뭐 아니 걔가 총을 쏴요 그래서 총 쏘는 거 좋아하시는 분들이 좋아하는 패션이 있고 오신 박사님과 한번 해 보도록 하겠습니다
